ID_ВАК;ЗАР_ПЛАТ;ТРЕБ_НАВ;ТРЕБ_ОП;РЕЖ_РАБ;ФОРМ_ЗАН
64;209983;numpy,excel,python,c++;от 5 лет;Полный рабочий день;Офис
65;159287;excel,pandas,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
66;232559;python;1-3 года;Полный рабочий день;Офис
67;97985;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
68;125317;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Удаленная работа
69;56709;;1-3 года;4 часа в день;Офис
70;116647;excel,pandas,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
71;83158;python;Нет опыта;4 часа в день;Офис
72;60086;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;4 часа в день;Офис
73;232011;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
74;65213;numpy,excel,python;Нет опыта;4 часа в день;Удаленная работа
75;121916;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Удаленная работа
76;55757;numpy,python;Нет опыта;Полный рабочий день;Офис
77;212731;;Нет опыта;4 часа в день;Офис
78;99704;numpy,excel,python,c++;от 5 лет;Полный рабочий день;Офис
79;292397;python;1-3 года;Полный рабочий день;Гибрид
80;289953;numpy,python;1-3 года;Полный рабочий день;Удаленная работа
81;54369;excel,python,numpy,java,c++;1-3 года;Полный рабочий день;Гибрид
82;81782;numpy,excel,python;Нет опыта;4 часа в день;Удаленная работа
83;247010;numpy,excel,python,c++;Нет опыта;4 часа в день;Гибрид
84;250257;python;Нет опыта;4 часа в день;Офис
85;219233;excel,python,numpy,java,c++;от 5 лет;4 часа в день;Офис
86;192210;excel,pandas,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
87;147730;;Нет опыта;Полный рабочий день;Гибрид
88;293942;numpy,excel,python;Нет опыта;Полный рабочий день;Гибрид
89;153586;excel,pandas,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
90;112906;;от 5 лет;4 часа в день;Офис
91;59246;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
92;175347;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
93;110995;numpy,excel,python;1-3 года;4 часа в день;Удаленная работа
94;269412;;от 5 лет;4 часа в день;Офис
95;98774;numpy,python;1-3 года;Полный рабочий день;Удаленная работа
96;157252;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Офис
97;170415;;от 5 лет;Полный рабочий день;Офис
98;269962;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Удаленная работа
99;144623;excel,pandas,python,numpy,java,c++;1-3 года;4 часа в день;Удаленная работа
100;227745;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Удаленная работа
101;271119;numpy,python;Нет опыта;Полный рабочий день;Гибрид
102;78678;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
103;127130;python;от 5 лет;4 часа в день;Удаленная работа
104;188265;;Нет опыта;4 часа в день;Гибрид
105;204662;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Гибрид
106;135635;numpy,excel,python;Нет опыта;Полный рабочий день;Офис
107;271026;excel,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
108;173142;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
109;295241;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;4 часа в день;Гибрид
110;185172;numpy,excel,python,c++;от 5 лет;Полный рабочий день;Гибрид
111;120260;;от 5 лет;4 часа в день;Офис
112;127462;python;Нет опыта;4 часа в день;Гибрид
113;145506;;1-3 года;Полный рабочий день;Удаленная работа
114;286169;python;Нет опыта;4 часа в день;Гибрид
115;194203;python;1-3 года;Полный рабочий день;Офис
116;256078;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;4 часа в день;Удаленная работа
117;200943;numpy,excel,python;Нет опыта;Полный рабочий день;Удаленная работа
118;89564;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
119;96840;excel,python,numpy,java,c++;Нет опыта;Полный рабочий день;Офис
120;110729;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
121;251609;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
122;95041;numpy,excel,python;Нет опыта;Полный рабочий день;Удаленная работа
123;68211;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
124;260929;excel,python,numpy,java,c++;1-3 года;4 часа в день;Офис
125;159987;numpy,excel,python;от 5 лет;Полный рабочий день;Офис
126;218257;;1-3 года;4 часа в день;Офис
127;85384;;1-3 года;4 часа в день;Удаленная работа
128;273504;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Гибрид
129;143102;numpy,excel,python;1-3 года;Полный рабочий день;Офис
130;185511;numpy,excel,python;1-3 года;Полный рабочий день;Офис
131;232295;numpy,excel,python;1-3 года;4 часа в день;Гибрид
132;111167;numpy,python;1-3 года;4 часа в день;Офис
133;109560;numpy,python;Нет опыта;Полный рабочий день;Удаленная работа
134;155235;;1-3 года;4 часа в день;Удаленная работа
135;82027;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;4 часа в день;Офис
136;87115;;Нет опыта;4 часа в день;Гибрид
137;146086;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
138;155972;excel,python,numpy,java,c++;от 5 лет;4 часа в день;Удаленная работа
139;212000;excel,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
140;169511;numpy,excel,python,c++;от 5 лет;4 часа в день;Удаленная работа
141;54486;excel,pandas,python,numpy,java,c++;от 5 лет;Полный рабочий день;Удаленная работа
142;293326;python;1-3 года;Полный рабочий день;Удаленная работа
143;219807;;от 5 лет;Полный рабочий день;Офис
144;214642;python;1-3 года;4 часа в день;Удаленная работа
145;221030;python;1-3 года;Полный рабочий день;Удаленная работа
146;235842;;1-3 года;Полный рабочий день;Удаленная работа
147;149732;;Нет опыта;Полный рабочий день;Офис
148;62540;numpy,python;Нет опыта;Полный рабочий день;Удаленная работа
149;219088;excel,python,numpy,java,c++;Нет опыта;Полный рабочий день;Офис
150;269721;numpy,python;от 5 лет;Полный рабочий день;Удаленная работа
151;88036;numpy,excel,python;1-3 года;Полный рабочий день;Гибрид
152;72455;numpy,excel,python;Нет опыта;Полный рабочий день;Удаленная работа
153;259776;;1-3 года;Полный рабочий день;Гибрид
154;291850;numpy,excel,python;Нет опыта;Полный рабочий день;Гибрид
155;279209;excel,python,numpy,java,c++;от 5 лет;4 часа в день;Гибрид
156;170007;numpy,excel,python,c++;1-3 года;Полный рабочий день;Офис
157;220759;excel,pandas,python,numpy,java,c++;1-3 года;Полный рабочий день;Удаленная работа
158;62666;python;Нет опыта;4 часа в день;Гибрид
159;288572;python;1-3 года;Полный рабочий день;Гибрид
160;135537;numpy,excel,python;от 5 лет;4 часа в день;Удаленная работа
161;220059;numpy,python;от 5 лет;4 часа в день;Гибрид
162;270985;numpy,excel,python,c++;1-3 года;Полный рабочий день;Офис
163;219212;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Гибрид
164;177256;excel,pandas,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
165;264489;excel,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
166;108240;numpy,excel,python,c++;Нет опыта;4 часа в день;Гибрид
167;122628;numpy,excel,python,c++;Нет опыта;Полный рабочий день;Офис
168;144832;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
169;87450;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
170;215684;numpy,excel,python,c++;от 5 лет;4 часа в день;Удаленная работа
171;273463;;1-3 года;4 часа в день;Удаленная работа
172;97701;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
173;55131;numpy,excel,python,c++;1-3 года;Полный рабочий день;Удаленная работа
174;262008;numpy,excel,python,c++;от 5 лет;4 часа в день;Удаленная работа
175;269069;numpy,excel,python;1-3 года;4 часа в день;Удаленная работа
176;114593;numpy,excel,python,c++;Нет опыта;Полный рабочий день;Удаленная работа
177;97567;numpy,python;от 5 лет;4 часа в день;Удаленная работа
178;187329;;от 5 лет;4 часа в день;Удаленная работа
179;59542;python;1-3 года;Полный рабочий день;Офис
180;295011;;1-3 года;Полный рабочий день;Гибрид
181;258491;python;Нет опыта;Полный рабочий день;Гибрид
182;144299;excel,python,numpy,java,c++;1-3 года;4 часа в день;Офис
183;121586;numpy,excel,python,c++;от 5 лет;4 часа в день;Офис
184;73750;numpy,python;1-3 года;Полный рабочий день;Гибрид
185;55995;numpy,python;Нет опыта;Полный рабочий день;Гибрид
186;124431;numpy,python;от 5 лет;Полный рабочий день;Гибрид
187;138273;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
188;59075;numpy,excel,python,c++;1-3 года;4 часа в день;Гибрид
189;195551;excel,python,numpy,java,c++;Нет опыта;Полный рабочий день;Офис
190;136397;;1-3 года;Полный рабочий день;Удаленная работа
191;206355;numpy,python;Нет опыта;Полный рабочий день;Удаленная работа
192;170489;numpy,excel,python,c++;1-3 года;4 часа в день;Удаленная работа
193;146375;python;Нет опыта;Полный рабочий день;Офис
194;90399;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
195;214493;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Гибрид
196;136781;excel,pandas,python,numpy,java,c++;1-3 года;4 часа в день;Офис
197;210646;numpy,python;1-3 года;4 часа в день;Гибрид
198;82235;numpy,python;1-3 года;4 часа в день;Офис
199;238878;excel,pandas,python,numpy,java,c++;от 5 лет;Полный рабочий день;Удаленная работа
200;151290;excel,pandas,python,numpy,java,c++;от 5 лет;Полный рабочий день;Удаленная работа
201;191453;excel,python,numpy,java,c++;1-3 года;4 часа в день;Офис
202;174426;numpy,python;Нет опыта;4 часа в день;Удаленная работа
203;104123;excel,pandas,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
204;292318;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
205;190873;numpy,excel,python;1-3 года;4 часа в день;Офис
206;190769;excel,python,numpy,java,c++;от 5 лет;4 часа в день;Офис
207;183132;excel,python,numpy,java,c++;Нет опыта;4 часа в день;Удаленная работа
208;200143;numpy,python;Нет опыта;4 часа в день;Удаленная работа
209;172840;numpy,python;Нет опыта;Полный рабочий день;Офис
210;170153;;Нет опыта;Полный рабочий день;Офис
211;95651;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
212;102879;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;4 часа в день;Гибрид
213;63308;python;от 5 лет;4 часа в день;Офис
214;157066;numpy,excel,python,c++;Нет опыта;Полный рабочий день;Удаленная работа
215;210546;numpy,python;от 5 лет;Полный рабочий день;Удаленная работа
216;91951;numpy,excel,python,c++;1-3 года;Полный рабочий день;Гибрид
217;117054;python;от 5 лет;Полный рабочий день;Гибрид
218;277434;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
219;176034;numpy,python;Нет опыта;Полный рабочий день;Удаленная работа
220;284991;;Нет опыта;4 часа в день;Офис
221;290276;;от 5 лет;4 часа в день;Офис
222;299039;numpy,excel,python;1-3 года;4 часа в день;Удаленная работа
223;89293;excel,python,numpy,java,c++;1-3 года;Полный рабочий день;Гибрид
224;193392;python;1-3 года;Полный рабочий день;Гибрид
225;133530;python;Нет опыта;Полный рабочий день;Офис
226;105729;python;от 5 лет;4 часа в день;Гибрид
227;272646;numpy,python;от 5 лет;4 часа в день;Гибрид
228;238189;python;от 5 лет;4 часа в день;Удаленная работа
229;51166;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
230;84768;excel,pandas,python,numpy,java,c++;Нет опыта;4 часа в день;Гибрид
231;299901;excel,python,numpy,java,c++;1-3 года;4 часа в день;Офис
232;103054;numpy,python;Нет опыта;4 часа в день;Гибрид
233;219746;numpy,excel,python,c++;1-3 года;Полный рабочий день;Гибрид
234;123941;python;1-3 года;4 часа в день;Гибрид
235;53250;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
236;254426;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Удаленная работа
237;162497;numpy,excel,python;от 5 лет;4 часа в день;Гибрид
238;81439;excel,pandas,python,numpy,java,c++;1-3 года;4 часа в день;Удаленная работа
239;162899;numpy,excel,python,c++;от 5 лет;Полный рабочий день;Гибрид
240;216360;python;Нет опыта;4 часа в день;Гибрид
241;111528;excel,pandas,python,numpy,java,c++;Нет опыта;Полный рабочий день;Офис
242;199735;python;1-3 года;4 часа в день;Офис
243;63706;python;от 5 лет;Полный рабочий день;Офис
244;83454;;от 5 лет;4 часа в день;Удаленная работа
245;282749;excel,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
246;115567;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
247;286450;numpy,python;от 5 лет;Полный рабочий день;Удаленная работа
248;236823;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
249;205213;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;4 часа в день;Удаленная работа
250;53149;numpy,excel,python,c++;1-3 года;4 часа в день;Офис
251;191112;numpy,python;от 5 лет;Полный рабочий день;Офис
252;288936;excel,pandas,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
253;237115;excel,pandas,python,numpy,java,c++;1-3 года;Полный рабочий день;Гибрид
254;273652;numpy,python;1-3 года;Полный рабочий день;Удаленная работа
255;229759;;Нет опыта;4 часа в день;Офис
256;274853;numpy,excel,python;от 5 лет;Полный рабочий день;Офис
257;296121;;Нет опыта;4 часа в день;Гибрид
258;175642;numpy,excel,python,c++;от 5 лет;Полный рабочий день;Удаленная работа
259;239893;;Нет опыта;Полный рабочий день;Гибрид
260;198150;python;Нет опыта;Полный рабочий день;Удаленная работа
261;95589;excel,pandas,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
262;93522;python;Нет опыта;4 часа в день;Гибрид
263;235472;numpy,excel,python,c++;1-3 года;4 часа в день;Удаленная работа
264;232805;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
265;291672;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
266;296367;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Офис
267;259947;python;от 5 лет;Полный рабочий день;Офис
268;207149;numpy,excel,python,c++;от 5 лет;Полный рабочий день;Гибрид
269;245692;python;от 5 лет;4 часа в день;Офис
270;266791;numpy,python;от 5 лет;4 часа в день;Гибрид
271;138879;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
272;117701;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
273;65253;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Офис
274;108697;numpy,excel,python;1-3 года;Полный рабочий день;Офис
275;228130;numpy,excel,python;1-3 года;Полный рабочий день;Гибрид
276;290571;;1-3 года;4 часа в день;Офис
277;168011;numpy,excel,python;от 5 лет;4 часа в день;Офис
278;72791;python;Нет опыта;4 часа в день;Офис
279;124681;numpy,excel,python;Нет опыта;Полный рабочий день;Офис
280;75654;excel,pandas,python,numpy,java,c++;1-3 года;Полный рабочий день;Гибрид
281;299908;numpy,excel,python,c++;1-3 года;Полный рабочий день;Гибрид
282;284800;excel,pandas,python,numpy,java,c++;от 5 лет;4 часа в день;Удаленная работа
283;295424;excel,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
284;126837;;от 5 лет;Полный рабочий день;Удаленная работа
285;168999;numpy,python;Нет опыта;4 часа в день;Удаленная работа
286;252183;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
287;232226;;1-3 года;Полный рабочий день;Удаленная работа
288;163665;;1-3 года;4 часа в день;Удаленная работа
289;295751;numpy,python;Нет опыта;Полный рабочий день;Гибрид
290;165166;numpy,excel,python,c++;от 5 лет;Полный рабочий день;Гибрид
291;270086;numpy,excel,python;1-3 года;4 часа в день;Гибрид
292;133670;excel,pandas,python,numpy,java,c++;1-3 года;4 часа в день;Удаленная работа
293;155007;numpy,excel,python;Нет опыта;4 часа в день;Гибрид
294;220400;numpy,excel,python,c++;Нет опыта;4 часа в день;Гибрид
295;253602;numpy,python;Нет опыта;Полный рабочий день;Удаленная работа
296;195520;numpy,excel,python,c++;от 5 лет;Полный рабочий день;Гибрид
297;171292;numpy,excel,python;1-3 года;Полный рабочий день;Гибрид
298;64331;numpy,python;Нет опыта;Полный рабочий день;Удаленная работа
299;131347;numpy,excel,python,c++;Нет опыта;4 часа в день;Гибрид
300;279165;excel,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
301;65461;excel,python,numpy,java,c++;от 5 лет;4 часа в день;Офис
302;54527;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
303;73033;numpy,excel,python,c++;от 5 лет;Полный рабочий день;Офис
304;129131;;Нет опыта;Полный рабочий день;Удаленная работа
305;180216;python;Нет опыта;4 часа в день;Гибрид
306;280650;;Нет опыта;Полный рабочий день;Удаленная работа
307;94138;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
308;167104;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Удаленная работа
309;96314;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Удаленная работа
310;183640;;от 5 лет;Полный рабочий день;Офис
311;99270;numpy,excel,python,c++;1-3 года;4 часа в день;Удаленная работа
312;246853;numpy,python;Нет опыта;4 часа в день;Офис
313;86395;numpy,python;от 5 лет;4 часа в день;Удаленная работа
314;155660;numpy,excel,python;1-3 года;Полный рабочий день;Гибрид
315;123206;excel,python,numpy,java,c++;от 5 лет;4 часа в день;Удаленная работа
316;155053;numpy,excel,python;1-3 года;Полный рабочий день;Офис
317;175338;excel,pandas,python,numpy,java,c++;от 5 лет;4 часа в день;Офис
318;159329;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;4 часа в день;Офис
319;90920;numpy,python;от 5 лет;Полный рабочий день;Офис
320;98341;;от 5 лет;Полный рабочий день;Удаленная работа
321;61187;python;1-3 года;4 часа в день;Офис
322;70644;excel,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
323;81893;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;4 часа в день;Офис
324;179136;numpy,python;от 5 лет;Полный рабочий день;Удаленная работа
325;238024;numpy,excel,python,c++;Нет опыта;Полный рабочий день;Офис
326;273527;numpy,python;от 5 лет;4 часа в день;Офис
327;151136;excel,pandas,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
328;201532;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
329;255661;numpy,excel,python;от 5 лет;4 часа в день;Удаленная работа
330;206381;python;1-3 года;4 часа в день;Гибрид
331;262546;numpy,excel,python,c++;Нет опыта;4 часа в день;Гибрид
332;206963;numpy,excel,python,c++;от 5 лет;4 часа в день;Офис
333;223859;;от 5 лет;Полный рабочий день;Гибрид
334;151644;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Офис
335;66585;excel,pandas,python,numpy,java,c++;от 5 лет;4 часа в день;Гибрид
336;249773;numpy,excel,python,c++;Нет опыта;Полный рабочий день;Офис
337;98148;numpy,excel,python,c++;1-3 года;4 часа в день;Удаленная работа
338;163820;numpy,excel,python;Нет опыта;Полный рабочий день;Гибрид
339;160286;python;Нет опыта;4 часа в день;Удаленная работа
340;58335;python;Нет опыта;Полный рабочий день;Офис
341;276762;excel,python,numpy,java,c++;1-3 года;4 часа в день;Офис
342;180084;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
343;174679;numpy,excel,python,c++;1-3 года;Полный рабочий день;Удаленная работа
344;259829;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Удаленная работа
345;77440;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
346;195677;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;4 часа в день;Офис
347;299567;numpy,excel,python,c++;Нет опыта;4 часа в день;Гибрид
348;281486;python;Нет опыта;4 часа в день;Удаленная работа
349;61685;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
350;93658;excel,pandas,python,numpy,java,c++;1-3 года;4 часа в день;Гибрид
351;57922;;от 5 лет;4 часа в день;Гибрид
352;189571;numpy,excel,python,c++;1-3 года;4 часа в день;Гибрид
353;79498;numpy,python;от 5 лет;Полный рабочий день;Удаленная работа
354;128925;numpy,python;Нет опыта;4 часа в день;Офис
355;107068;numpy,excel,python;от 5 лет;Полный рабочий день;Удаленная работа
356;245023;excel,pandas,python,numpy,java,c++;Нет опыта;Полный рабочий день;Гибрид
357;226614;excel,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
358;113715;numpy,python;1-3 года;4 часа в день;Удаленная работа
359;239920;excel,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
360;136132;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Офис
361;58527;numpy,python;1-3 года;4 часа в день;Удаленная работа
362;142731;excel,python,numpy,java,c++;от 5 лет;Полный рабочий день;Удаленная работа
363;260616;excel,pandas,python,numpy,java,c++;Нет опыта;Полный рабочий день;Офис
